Question,Answer,Domain
1920 मा असहयोग आन्दोलनको सुरुवात संगै कसको मृत्यु भयो?,"१ अगस्ट १९२० मा असहयोग आन्दोलनको घोषणा भयो, सोही दिन बिहानै बाल गंगाधर तिलकको मृत्युको खबर आयो ।",Politics
कुन भारतीय कार्यकर्ता 'लोकहितवादी' भनेर चिनिन्थ्यो?,"रावबहादुर गोपाल हरि देशमुख () जसलाई लोकहितवादी पनि भनिन्छ (१८ फेब्रुअरी १८२३ – ९ अक्टोबर १८९२) महाराष्ट्रका एक भारतीय कार्यकर्ता, विचारक, समाज सुधारक र लेखक थिए।",Politics
भारत के प्रथम राष्ट्रपति र संयुक्त राज्य अमेरिका को प्रथम राष्ट्रपति को थिए?,"राजेन्द्र प्रसाद एक भारतीय राजनीतिज्ञ, वकिल, पत्रकार र विद्वान थिए जसले 1950 देखि 1962 सम्म भारतको पहिलो राष्ट्रपतिको रूपमा सेवा गरे। जर्ज वाशिंगटन (फेब्रुअरी 22, 1732 - 14 डिसेम्बर, 1799) एक अमेरिकी संस्थापक पिता, सैन्य अधिकारी, र राजनीतिज्ञ थिए। 1789 देखि 1797 सम्म संयुक्त राज्य अमेरिका को पहिलो राष्ट्रपति को रूप मा सेवा।",Politics
अब्दुल कलाम को थिए ? संक्षिप्त वर्णन गर्नुहोस्।,"एपीजे अब्दुल कलाम (जन्म अक्टोबर 15, 1931, रामेश्वरम, भारत - मृत्यु जुलाई 27, 2015, शिलङ) एक भारतीय वैज्ञानिक र राजनीतिज्ञ थिए जसले भारतको मिसाइल र आणविक हतियार कार्यक्रमको विकासमा अग्रणी भूमिका खेलेका थिए। उनी सन् २००२ देखि २००७ सम्म भारतको राष्ट्रपति थिए।",Politics
मोदीको पहिलो कार्यकालमा भारतको अर्थमन्त्री को थिए ?,"अरुण जेटली (२८ डिसेम्बर १९५२ - २४ अगस्ट २०१९) एक भारतीय राजनीतिज्ञ र वकिल थिए। भारतीय जनता पार्टीका सदस्य, जेटलीले 2014 देखि 2019 सम्म भारत सरकारको वित्त र कर्पोरेट मामिला मन्त्रीको रूपमा सेवा गरे।",Politics
नरेन्द्र मोदीको शैक्षिक योग्यता के छ ?,"1978 मा, मोदीले दिल्ली विश्वविद्यालयको स्कूल अफ ओपन लर्निङबाट राजनीति विज्ञानमा बीए डिग्री प्राप्त गरे, तेस्रो कक्षामा स्नातक। पाँच वर्ष पछि, 1983 मा, उनले गुजरात विश्वविद्यालयबाट राजनीति विज्ञानमा स्नातकोत्तर डिग्री प्राप्त गरे, बाह्य दूर शिक्षा विद्यार्थीको रूपमा।",Politics
अयोध्याको विवादित संरचना कहिले भत्कियो ? राज्य कस्तो थियो । सरकारले कारवाही गरेको हो ?,६ डिसेम्बर १९९२ मा अयोध्याको विवादित संरचना अर्थात् बाबरी मस्जिद भत्काइयो। उत्तर प्रदेशको भाजपा सरकार बर्खास्त गरियो र उत्तर प्रदेशका मुख्यमन्त्री विरुद्ध सर्वोच्च अदालतमा अदालतको अवहेलनाको मुद्दा दर्ता गरियो।,Politics
संविधानको कुन धाराले भारतको राष्ट्रपतिको निर्वाचनसँग सम्बन्धित छ?,"भारतको संविधानको धारा ५४ अनुसार राष्ट्रपति निर्वाचक मण्डलद्वारा निर्वाचित हुन्छ, जसमा संसदका दुवै सदनका निर्वाचित सदस्यहरू र सबै राज्यका विधान सभाका निर्वाचित सदस्यहरू र दिल्लीको एनसीटी र एनसीटी पनि हुन्छन्। केन्द्र शासित प्रदेश पुडुचेरी।",Politics
महाराष्ट्र मा लोकसभा सीट संख्या कति छ?,"48 लोकसभा सीटहरूको साथ, महाराष्ट्र उत्तर प्रदेश पछि दोस्रो-सबैभन्दा बढी सीटहरू भएको छ, जसमा 80 सीटहरू छन्।",Politics
संविधानको मस्यौदा समितिमा प्रस्तावना कसले पेश गरेका थिए,"प्रस्तावना नेहरू को ""उद्देश्य संकल्प"" मा आधारित छ। जवाहरलाल नेहरूले एक वस्तुनिष्ठ संकल्प प्रस्ताव गरे र त्यो हो जब डा बीआर अम्बेडकरले संविधानको पाठ र प्रस्तावना डिजाइन गरे।",Politics
1973 मा भारतको प्रधानन्यायाधीश कसलाई नियुक्त गरिएको थियो? यो नियुक्ति किन विवादास्पद बन्यो?,"1973 मा, सरकारले तीन न्यायाधीशको वरिष्ठतालाई खारेज गर्यो र न्यायमूर्ति एएन रेलाई भारतको प्रधानन्यायाधीश नियुक्त गर्यो। बर्खास्त गरिएका तीनैजना न्यायाधीशले सरकारको अडानविरुद्धको फैसला गरेका कारण नियुक्ति राजनीतिक रूपमा विवादास्पद बनेको थियो ।",Politics
मार्च 1977 को आम चुनावमा जनता पार्टी र यसको सहयोगीहरूले कति लोकसभा सीटहरू जितेका थिए?,जनता पार्टी र यसका सहयोगीहरूले लोकसभामा ५४२ सिटमध्ये ३३० सिट जितेका छन्। जनता पार्टी आफैंले २९५ सिट जित्यो र स्पष्ट बहुमत प्राप्त गर्यो।,Politics
2024 सम्म महाराष्ट्रको मुख्यमन्त्री को हुनुहुन्छ?,एकनाथ संभाजी शिन्दे एक भारतीय राजनीतिज्ञ हुन् जसले ३० जुन २०२२ देखि महाराष्ट्रको २०औँ र वर्तमान मुख्यमन्त्रीको रूपमा सेवा गरिरहेका छन्। उहाँ फेब्रुअरी २०२३ देखि शिवसेनाको नेता र जुलाई २०२२ देखि महाराष्ट्र विधान सभाको नेताको रूपमा सेवा गर्दै हुनुहुन्छ। ।,Politics
कुन उच्च अदालतले 12 जुन 1975 मा प्रधानमन्त्री इन्दिरा गान्धी विरुद्ध फैसला दियो र उनले लोकसभा 1971 को सदस्यता गुमाए।,"उत्तर प्रदेश राज्य बनाम राज नारायण (1975 AIR 865, 1975 SCR (3) 333) इलाहाबाद उच्च अदालतले 1975 मा सुनुवाइ गरेको मुद्दा थियो जसले भारतकी प्रधानमन्त्री इन्दिरा गान्धीलाई चुनावी दुराचारको दोषी पाएको थियो।",Politics
भारतमा रियासतहरूको एकीकरणमा सरदार पटेलले खेलेको भूमिकाको व्याख्या गर्नुहोस्।,"सरदार पटेल स्वतन्त्रता पछिको महत्त्वपूर्ण अवधिमा भारतको उपप्रधानमन्त्री र गृहमन्त्री थिए। उनले रियासतका शासकहरूसँग दृढ तर कूटनीतिक रूपमा वार्ता गर्न र उनीहरूमध्ये अधिकांशलाई भारतीय संघमा ल्याउन ऐतिहासिक भूमिका खेले। सरदार पटेलले भारतमा रियासतहरूको एकीकरणमा निम्न भूमिका खेलेका थिए: उनले कूटनीति र वार्ताका माध्यमबाट रियासतहरूबाट विलयको पत्र प्राप्त गरे। उनले हैदरावाद, जुनागढ, मणिपुर र कश्मीर राज्यहरूसँग उनीहरूको विलयको लागि बल र अनुनयको प्रयोग गरे।",Politics
1952 को पहिलो आम चुनावमा कांग्रेस पार्टी र भारतीय जनसंघको चुनाव चिन्ह के थियो?,सन् १९५२ को पहिलो आम निर्वाचनमा कांग्रेस पार्टीको चिन्ह गोरुको जोडी र भारतीय जनसंघको प्रतीक दीपक (दीपक) थियो।,Politics
शिवसेनाको मुख्यालय कहाँ छ ?,"शिव सेनाको मुख्यालय र मुख्य कार्यालय थानेमा आनन्द दिघेको घरमा अवस्थित छ। दिघे शिव सेना मुखी नेता (मुख्य नेता) एकनाथ शिन्देका गुरु र गुरु थिए। 24 फेब्रुअरी 2023 मा, शिन्देले उद्धव ठाकरेबाट पार्टीको जिम्मा लिएपछि मुख्यालय शिवसेना भवनबाट सारिएको थियो;[75] जबकि ठाकरेको गुटले शिवसेना भवनमाथि नियन्त्रण राख्यो।",Politics
आफ्नो आधिकारिक झण्डा भएको एक मात्र भारतीय राज्य कुन थियो?,"जम्मू र कश्मीरको राज्य झण्डा 1952 र 2019 को बीचमा भारतको संविधानको अनुच्छेद 370 ले यस क्षेत्रलाई दिइएको विशेष दर्जा अन्तर्गत जम्मु र कश्मीरको पूर्व भारतीय राज्यमा प्रयोग गरिएको प्रतीक थियो। यो एक हलो र राज्य को तीन घटक क्षेत्र को प्रतिनिधित्व संग एक रातो र सेतो झण्डा थियो। अगस्ट 2019 मा धारा 370 को उन्मूलन पछि, यो झण्डाले आफ्नो आधिकारिक हैसियत गुमायो।",Politics
पञ्जाबमा प्रभुत्व जमाउने तीन राजनीतिक दलहरूको सूची बनाउनुहोस्?,"पुनर्गठित वर्तमान पञ्जाबको राजनीतिमा मुख्यतया तीन दलहरू - भारतीय राष्ट्रिय कांग्रेस, आम आदमी पार्टी र शिरोमणि अकाली दल (बादल) को प्रभुत्व रहेको छ।",Politics
2024 सम्म UP को स्वास्थ्य मन्त्री को हुनुहुन्छ?,"जय प्रताप सिंह (जन्म ७ सेप्टेम्बर १९५३) एक भारतीय राजनीतिज्ञ हुन् जसले उत्तर प्रदेश सरकारको योगी आदित्यनाथ मन्त्रालयमा चिकित्सा र स्वास्थ्य, परिवार कल्याण, आमा र बाल कल्याण मन्त्रीको रूपमा सेवा गरिरहेका छन्।",Politics
2024 सम्म MP मा हाल कुन सरकार सत्तामा छ?,"डा. मोहन यादव (जन्म २५ मार्च १९६५) एक भारतीय राजनीतिज्ञ र व्यापारी हुन् जो २०२३ (२०२४ को अनुसार) मध्य प्रदेशको १९ औं र वर्तमान मुख्यमन्त्रीको रूपमा सेवा गरिरहेका छन्। भारतीय जनता पार्टीका सदस्य, उनी २०१३ देखि मध्य प्रदेशको विधान सभा सदस्यको रूपमा उज्जैन दक्षिण निर्वाचन क्षेत्रको प्रतिनिधित्व गर्छन्।",Politics
2007 मा यूपी विधानसभा चुनावको पोल नतिजा के थियो?,बहुजन समाज पार्टीले 403 सिट मध्ये 206 सिट जितेर विधानसभामा पूर्ण बहुमत हासिल गर्यो।,Politics
एम करुणानिधि पहिलो पटक तमिलनाडु विधानसभामा कुन निर्वाचन क्षेत्रबाट निर्वाचित भएका थिए ?,कुलीथलाई,Politics
जसलाई दक्षिण भारतको पहिलो कम्युनिस्ट मानिन्छ,"मलायापुरम सिंगारावेलुलाई दक्षिण भारतको पहिलो कम्युनिस्ट मानिन्छ। 1925 मा, उहाँ भारतीय कम्युनिस्ट पार्टीका संस्थापक पिताहरू मध्ये एक हुनुभयो; र कानपुरमा यसको उद्घाटन सम्मेलनको अध्यक्षता गर्नुभयो। उनी भारतमा पहिलो ट्रेड युनियनको आयोजनका लागि पनि परिचित छन् र 19 औं शताब्दीको भारतमा प्रचलित गम्भीर छुवाछुतको व्याप्ति विरुद्ध लडेका थिए।",Politics
आन्ध्र प्रदेशको सबैभन्दा प्रभावशाली राजनीतिक दलका संस्थापक को थिए?,तेलुगु देशम पार्टी (टीडीपी; तेलुगु ल्याण्डको अनुवाद पार्टी) आन्ध्र प्रदेश र तेलंगाना राज्यहरूमा प्रभाव भएको भारतीय क्षेत्रीय राजनीतिक दल हो। यो तेलुगु चलचित्र स्टार NT रामा राव (NTR) द्वारा 29 मार्च 1982 मा स्थापना गरिएको थियो र यसले तेलुगु मानिसहरूलाई समर्थन गर्नमा ध्यान केन्द्रित गरेको छ।,Politics
कर्नाटकको राजनीतिमा प्रभुत्व जमाउने जाति समूहहरू उल्लेख गर्नुहोस्?,कर्नाटकको राजनैतिक वातावरणमा दुई जातीय समूहहरूको प्रभुत्व रहेको छ - वोक्कालिगासको प्रभुत्व भएको दक्षिणी कर्नाटक र लिंगायतहरूको प्रभुत्व रहेको उत्तर र मध्य कर्नाटकमा तर दलितहरू प्रमुख मतदाता हुन् र कर्नाटकमा सत्तारुढ दलको निर्णायक कारक हुन्।,Politics
भारतको कुन राज्यमा कम्युनिष्टहरूले सत्तामा निर्वाचित गरे?,"केरलाले 1957 मा लोकतान्त्रिक रूपमा कम्युनिष्टहरूलाई सत्तामा निर्वाचित गरेर इतिहास रच्यो, त्यसो गर्ने संसारमा पहिलो हो।",Politics
बिहारमा प्रशासनिक प्रयोजनका लागि कतिवटा डिभिजनहरू छन्?,"प्रशासनिक उद्देश्यका लागि, बिहार राज्यमा नौवटा डिभिजनहरू छन् - पटना, तिरहुत, सारण, दरभंगा, कोसी, पूर्णिया, भागलपुर, मुंगेर र मगध डिभिजन - जुन तिनीहरूको बीचमा ३८ जिल्लाहरूमा विभाजित छन्।",Politics
पश्चिम बंगालमा शरणार्थीहरूको आगमनको परिणाम के भयो?,"1971 को बंगलादेश मुक्ति युद्धले पश्चिम बंगालमा लाखौं शरणार्थीहरूको आगमनको परिणामस्वरूप, यसको पूर्वाधारमा महत्त्वपूर्ण तनाव उत्पन्न गर्यो। अन्तर्राष्ट्रिय सञ्चारमाध्यमहरूले शरणार्थी संकटलाई राम्रोसँग ह्यान्डल गरेकोमा सरकारलाई श्रेय दिइएको थियो।",Politics
2024 को अनुसार पश्चिम बंगालमा प्रमुख राजनीतिक दल कुन हो?,"अखिल भारतीय तृणमूल कांग्रेस पश्चिम बंगालमा हाल शासन गरिरहेको राजनीतिक दल हो। 2011 पश्चिम बंगाल विधान सभा चुनावमा, वाम मोर्चा अखिल भारतीय तृणमूल कांग्रेस द्वारा पराजित भयो जसले पूर्ण बहुमत सिट जित्यो। यसले पश्चिम बंगालमा ३४ वर्षको कम्युनिस्ट शासनको अन्त्यका साथै विश्वको सबैभन्दा लामो समयसम्म लोकतान्त्रिक रूपमा निर्वाचित कम्युनिस्ट सरकारको अन्त्य भयो। तृणमूल कांग्रेसकी नेतृ ममता बनर्जी मुख्यमन्त्री बनिन्।",Politics
ओडिशामा प्रान्तीय विधान सभाको निर्वाचनको लागि कुन कार्यले व्यवस्था गरेको छ?,"भारत सरकार अधिनियम 1935 ले प्रान्तीय विधान सभा र सरकारको चुनावको लागि प्रदान गरेको थियो, र सरकारको प्रमुखलाई प्रधानमन्त्रीको रूपमा तोकिएको थियो।",Politics
गुजरातको पहिलो महिला मुख्यमन्त्री को थिइन् ?,आनन्दीबेन मफतभाई पटेल (जन्म 21 नोभेम्बर 1941) ले गुजरातको पहिलो र एकमात्र (2024 सम्म) महिला मुख्यमन्त्रीको रूपमा सेवा गरिन्।,Politics
2022 गुजरात विधानसभा चुनावमा कुन पार्टीले अत्यधिक बहुमत प्राप्त गर्यो?,"2022 गुजरात विधान सभा चुनावमा, भारतीय जनता पार्टीले 156 सीटहरूको सुपर बहुमत जित्यो, जुन गुजरातको इतिहासमा कुनै पनि पार्टीले जितेको सबैभन्दा धेरै हो। भारतीय राष्ट्रिय कांग्रेस राज्यमा 3 दशकको सबैभन्दा कम गणनामा झरेको छ, र आम आदमी पार्टीले पाँच सिट जितेको छ।",Politics
2012 गोवा चुनावमा कुन पार्टीले भारतीय राष्ट्रिय कांग्रेसलाई पराजित गर्यो?,"२०१२ को चुनावमा, भारतीय जनता पार्टी (बीजेपी) ले गोवामा सीएम दिगम्बर कामतको नेतृत्वमा रहेको भारतीय राष्ट्रिय कांग्रेस सरकारलाई पराजित गर्यो। चुनावमा भाजपा-महाराष्ट्रवादी गोमन्तक गठबन्धनले जितेको थियो जसले ४० सिट भएको विधानसभामा २४ सिट जितेको थियो।",Politics
गुजरातमा कुल कति निर्वाचन क्षेत्रहरू छन्?,182,Politics
महाराष्ट्र नवनिर्माण सेना कसले बनाए?,महाराष्ट्र नवनिर्माण सेना (अनुवाद: महाराष्ट्र सुधार सेना; abbr. MNS) महाराष्ट्र राज्य मा स्थित एक क्षेत्रीयवादी अति-दक्षिण भारतीय राजनीतिक पार्टी हो र हिन्दुत्व र मराठी मानुस को विचारधारा मा संचालित है। [12][13] यो 9 मार्च 2006 मा मुम्बईमा राज ठाकरेले आफ्नो चचेरे भाई उद्धव ठाकरेसँग मतभेदका कारण शिवसेना पार्टी छोडेपछि स्थापना गरेका थिए।,Politics
सामाजिक इतिहासकार बद्री नारायणले पहिचान गरे अनुसार २०१५ बिहार चुनावमा मुख्य कारक के थियो?,"हिन्दुत्व राजनीतिले सामाजिक इतिहासकार बद्री नारायणले राखेको जातीय राजनीतिको सामना गर्नु थियो, जसले २०१५ को राजनीतिक उथलपुथललाई धेरै क्षेत्रीय राजनीतिक दलहरू र नेताहरूले सामना गरेको चुनौतीको एक भागको रूपमा पहिचान गरेका थिए। तिनीहरूका राज्यहरू।",Politics
भारतीय राष्ट्रिय विकास समावेशी गठबन्धन (INDIA) को गठन पछिको प्रेरणा के थियो?,"2014 र 2019 को आम चुनावमा एनडीएलाई पराजित गर्न विपक्षीहरूको असक्षमता पछि, 2024 को आम चुनावमा बीजेपी नेतृत्वको NDA विरुद्ध खडा हुन लगभग सबै प्रमुख राजनीतिक दलहरूको ठूलो गठबन्धनको आवश्यकता थियो।",Politics
२०२३ मा फ्रिडम हाउसले भारतीय लोकतन्त्रको अवस्थालाई कसरी वर्गीकृत गर्‍यो?,"2023 मा फ्रिडम हाउसको फ्रिडम इन द वर्ल्ड रिपोर्टले लगातार तेस्रो वर्ष भारतलाई ""आंशिक रूपमा स्वतन्त्र"" देशको रूपमा वर्गीकृत गर्‍यो।",Politics
निर्वाचन आयोगले कुन कानुन बमोजिम काम गर्छ ?,निर्वाचन आयोगले संविधानको धारा ३२४ र त्यसपछि लागू भएको जनप्रतिनिधित्व ऐनले दिएको अधिकार बमोजिम काम गर्छ ।,Politics
भारत र ब्राजिलको हावापानी तुलना गर्नुहोस्,"1. भारतमा मनसुन प्रकारको हावापानी छ भने ब्राजिलले जलवायुमा धेरै भिन्नताहरू अनुभव गर्दछ। उदाहरणका लागि ब्राजिलमा, भूमध्य रेखा नजिक, हावापानी तातो छ भने मकर राशिको ट्रपिकको नजिक, त्यहाँ समशीतोष्ण प्रकारको हावापानी छ। 2. भारतमा, सूर्यको किरणहरू त्यहाँबाट बग्ने क्यान्सर ट्रपिकसम्म लंबवत हुने भएकाले वर्षभरि औसत तापक्रम बढी हुन्छ, जबकि ब्राजिलमा, भूमध्य रेखाले देशको उत्तरी भागलाई काट्छ जसको परिणाम 25 ""से. देखि 28 सम्म हुन्छ। अमेजन उपत्यकाको औसत तापमान 3. भारतको उत्तरी राज्यहरूमा तापक्रम जाडोमा -40 डिग्री सेल्सियसको अनुभव हुन्छ यसको विपरीत, ब्राजिलको उत्तरी भाग सामान्यतया तातो हुन्छ, जबकि दक्षिणी भागमा, तापमान तुलनात्मक रूपमा कम हुन्छ। ब्राजिलले दक्षिण-पूर्वी व्यापारिक हावा र उत्तर-पूर्व व्यापारिक हावाबाट ओरोग्राफिक प्रकारको वर्षा पाउँछ र ब्राजिलको उत्तरी भागमा हुने वर्षा कन्भेक्शनल प्रकारको हुन्छ। भारतमा गुजरात र राजस्थानका क्षेत्रहरूमा कम वर्षा हुन्छ जबकि ब्राजिलियन हाईल्याण्ड्सको उत्तरपूर्वी भागमा धेरै कम वर्षा हुन्छ। 6. भारतमा, उष्णकटिबंधीय चक्रवातहरू बारम्बार आउँछन् भने यी चक्रवातहरू ब्राजिलमा विरलै आउँछन्।",Geography
नर्मदा उपत्यकामा केन्द्रित बस्तीहरू पाइन्छ,नदीको छेउमा खेतीयोग्य जमिन भएकाले नर्मदा उपत्यकामा केन्द्रित बस्तीहरू पाइन्छ। नर्मदा उपत्यका मुख्यतया गुजरात र मध्य प्रदेशमा अवस्थित छ र नदी नजिकको जमिन धेरै खेतीयोग्य छ।,Geography
सरकारले कृषकको हितमा ल्याएका विभिन्न संस्थागत सुधारका कार्यक्रमहरूलाई सूचीकृत गर्ने ।,"बसोबास ढाँचालाई असर गर्न सक्ने अन्य कारकहरू समावेश छन्: पानीको उपलब्धता, जमिनको ढलान, र जलवायु ढाँचा।",Geography
धानको वृद्धिका लागि आवश्यक पर्ने भौगोलिक अवस्थाको वर्णन गर्नुहोस्।,"भारतमा, नर्मदा उपत्यकाको पठार क्षेत्रमा प्रायः न्यूक्लिटेड बस्तीहरू पाइन्छ।",Geography
भारत विश्वमा ……….. को प्रमुख उत्पादक र निर्यातकर्ता हो।,चिया,Geography
पहेंलो क्रान्तिलाई जनाउँछ,तिलहन उत्पादन बढ्यो।,Geography
धान उत्पादनमा भारत विश्वमा कुन स्थानमा छ ?,दोस्रो,Geography
भारतमा कोइलाको वितरणको वर्णन गर्नुहोस्।,"भारतमा कोइला दुई मुख्य भूवैज्ञानिक युगको चट्टान शृङ्खलाहरूमा पाइन्छ, अर्थात् गोन्डवाना, जुन 200 मिलियन वर्षभन्दा अलि बढी उमेरको छ र लगभग 55 मिलियन वर्ष पुरानो तृतीयक भण्डारहरूमा हुन्छ। गोन्डवाना कोइलाका प्रमुख स्रोतहरू, जुन धातुकर्म कोइला हो, दामोदर उपत्यका (पश्चिम बंगाल-झारखण्ड) मा अवस्थित छन्। झरिया, रानीगञ्ज, बोकारो महत्वपूर्ण कोइला क्षेत्र हुन्। गोदावरी, महानदी, सोन र वर्धा उपत्यकामा पनि कोइलाको भण्डार छ। उत्तरपूर्वी राज्य मेघालय, असम, अरुणाचल प्रदेश र नागाल्याण्डमा तेस्रो कोइलाहरू हुन्छन्। झारखण्ड सबैभन्दा ठूलो उत्पादक हो जहाँ झरिया, बोकारो, करमपुर, पलामु प्रमुख कोइला क्षेत्रहरू हुन्। पश्चिम बंगालमा रानीगञ्ज, जलपाईगुडी र दार्जिलिङ कोइलाखानाहरू हुन्। सरगुजा, बिलासपुर, रायगढ र बस्तर जिल्लाहरू छत्तीसगढमा पाइने कोइला क्षेत्रहरू हुन्। MP को चिनावेयर जिल्लामा कोइला क्षेत्र छ र महाराष्ट्रमा, चंदा मुख्य क्षेत्र हो।",Geography
झारखण्डको कोडरमा गया-हजारीबाग बेल्ट कुन खनिजको प्रमुख उत्पादक हो?,मीका,Geography
भारतको सबैभन्दा पुरानो तेल उत्पादन गर्ने राज्य कुन हो?,असम,Geography
भारतको सबैभन्दा धनी खनिज बेल्ट हो ………………,प्रायद्वीप पठार,Geography
शिरा र लोडबाट प्राप्त हुने खनिजहरू कुन हो?,"टिन, तामा, जस्ता र सीसा जस्ता प्रमुख धातु खनिजहरू शिरा र लोडहरूबाट प्राप्त हुन्छन्।",Geography
चिपको आन्दोलनको उद्देश्य के थियो ?,वन संरक्षण,Geography
कुन वन्यजन्तु संरक्षण ऐनले पहिलो पटक संरक्षित प्रजातिको वनस्पतिको सूचीमा समावेश गरेको छ ?,वन्यजन्तु संरक्षण अधिनियम 1972,Geography
कुन माटो तीव्र लीचिंग द्वारा बनाइन्छ,लेटराइट माटो,Geography
कुन आधारमा औद्योगिक क्षेत्रलाई सार्वजनिक र निजी क्षेत्रमा वर्गीकरण गरिएको छ ?,उद्यमहरूको स्वामित्व,Geography
